"","ParcelNumb","Address","lat","long"
"624","1-9-2-019-045-0016","92-1250 Makakilo Drive, Kapolei, HI 96707",NA,NA
"625","1-4-3-015-014-0000","152 C Kalaheo AVE, Kailua, HI 96734",NA,NA
"626","1-3-2-022-013-0000","858-12th AVE, Honolulu, HI 96816",NA,NA
"627","1-4-7-004-030-0041","47-164A Hui Alaiaha PL, Kaneohe, HI 96744",NA,NA
"628","1-2-8-013-007-0000","1928 Metcalf ST, Honolulu, HI 96822",NA,NA
"629","1-9-1-061-026-0014","91-1169 Mikohu ST, Ewa Beach, HI 96706",NA,NA
"630","1-8-7-052-041-0000","87-1520 Laia ST, Waianae, HI 96792",NA,NA
"631","1-4-7-050-031-0000","47-452 Apau PL, Kaneohe, HI 96744",NA,NA
"632","1-9-2-019-016-0048","92-924 Palailai ST, Kapolei, HI 96707",NA,NA
"633","1-9-8-013-021-0026","98-941 Moanalua RD, Aiea, HI 96701",NA,NA
"634","1-9-1-138-038-0000","91-1086 Kai Kukuma ST, Ewa Beach, HI 96706",NA,NA
"635","1-9-4-064-043-0000","94-245 Kaholo ST, Mililani, HI 96789",NA,NA
"636","1-9-4-007-067-0038","94-527 Lumiaina ST, Waipahu, HI 96797",NA,NA
"637","1-9-7-050-056-0000","2152 Komo Mai Drive, Pearl City, HI 96782",NA,NA
"638","1-4-2-051-078-0000","1328 Manu Mele ST, Kailua, HI 96734",NA,NA
"639","1-6-7-008-019-0000","67-375 Kukea Circle, Waialua, HI 96791",NA,NA
"640","1-9-1-132-001-0101","91-1055 Kanela ST, Ewa Beach, HI 96706",NA,NA
"641","1-9-1-142-070-0000","91-1146 Kai Kukuma ST, Ewa Beach, HI 96706",NA,NA
"642","1-9-1-012-067-0027","91-2021 Kaioli ST, Ewa Beach, HI 96706",NA,NA
"643","1-9-4-115-036-0006","94-1336 Kulewa Loop, Waipahu, HI 96797",NA,NA
"644","1-9-1-016-216-0016","91-1209 Kamaaha AVE, Kapolei, HI 96707",NA,NA
"645","1-4-7-050-057-0000","47-509 Apau Loop, Kaneohe, HI 96744",NA,NA
"646","1-9-8-002-035-0030","98-1706 Kaahumanu ST, Pearl City, HI 96782",NA,NA
"647","1-9-2-019-073-0017","92-1202 Palahia ST, Kapolei, HI 96707",NA,NA
"648","1-9-2-003-075-0073","92-340 Palaulau PL, kapolei, HI 96707",NA,NA
"649","1-9-4-121-021-0000","94-1199 Oli Loop, Waipahu, HI 96797",NA,NA
"650","1-2-6-010-007-0569","1777 ala moana Boulevard, honolulu, HI 96815",NA,NA
"651","1-5-5-015-002-0002","55-607 Moana ST, Laie, HI 96762",NA,NA
"652","1-9-9-027-055-0000","99-798 Meaala ST, Aiea, HI 96701",NA,NA
"653","1-4-5-076-038-0000","45-528 Luluku RD, Kaneohe, HI 96744",NA,NA
"654","1-9-4-115-036-0055","94-1331 Kulewa Loop, Waipahu, HI 96797",NA,NA
"655","1-9-1-162-020-0010","91-1338 Kaikohola ST, Ewa Beach, HI 96706",NA,NA
"656","1-9-5-031-038-0000","95-729 Paikauhale ST, Mililani, HI 96789",NA,NA
"657","1-9-1-157-006-0000","91-1160 Waikapoo ST, Ewa Beach, HI 96706",NA,NA
"658","1-8-4-016-058-0000","84-776 Farrington Highway, Waianae, HI 96792",NA,NA
"659","1-9-1-142-103-0000","91-1120 Kai Weke ST, Ewa Beach, HI 96706",NA,NA
"660","1-9-2-019-045-0066","92-1242 Makakilo Drive, Kapolei, HI 96707",NA,NA
"661","1-9-5-049-038-0032","95-1157 Makaikai ST, Mililani, HI 96789",NA,NA
"662","1-9-4-007-074-0096","94-590 Lumiauau ST, Waipahu, HI 96797",NA,NA
"663","1-4-7-004-020-0022","47-367B Hui Iwa ST, Kaneohe, HI 96744",NA,NA
"664","1-9-4-069-033-0000","94-410 Kapuahi ST, Mililani, HI 96789",NA,NA
"665","1-9-9-025-080-0000","95-560 Kaulainahee PL, Aiea, HI 96701",NA,NA
"666","1-9-4-058-009-0000","94-427 Hiahia Loop, Waipahu, HI 96797",NA,NA
"667","1-9-4-055-014-0000","94-664 Loaa ST, Waipahu, HI 96797",NA,NA
"668","1-4-7-004-012-0061","47-381 Hui Iwa ST, Kaneohe, HI 96744",NA,NA
"669","1-3-2-011-008-0001","1021A 6th AVE, Honolulu, HI 96816",NA,NA
"670","1-9-1-041-033-0000","91-1120 Kauiki ST, Ewa Beach, HI 96706",NA,NA
"671","1-9-1-016-041-0091","91-1165 Kamaaha Loop, Kapolei, HI 96707",NA,NA
"672","1-4-7-004-034-0034","47-685 Hui Kelu ST, Kaneohe, HI 96744",NA,NA
"673","1-9-1-056-005-0206","92-1079 Koio Drive, Kapolei, HI 96707",NA,NA
"674","1-4-5-021-073-0000","45-609 Keaahala RD, Kaneohe, HI 96744",NA,NA
"675","1-9-4-005-035-0083","94-1504 Lanikuhana AVE, Mililani, HI 96789",NA,NA
"676","1-9-1-162-007-0002","91-1234 Kaikohola ST, Ewa Beach, HI 96706",NA,NA
"677","1-9-1-056-014-0089","92-1519A Aliinui Drive, Kapolei, HI 96707",NA,NA
"678","1-9-8-064-035-0000","98-2018 Hapaki ST, Aiea, HI 96701",NA,NA
"679","1-9-1-010-104-0004","91-392 Makalea ST, Ewa Beach, HI 96706",NA,NA
"680","1-9-5-002-036-0079","95-1153 Wikao ST, Mililani, HI 96789",NA,NA
"681","1-9-1-016-041-0073","91-1159 Kamaaha Loop, Kapolei, HI 96707",NA,NA
"682","1-9-1-010-090-0010","91-361 Makalea ST, Ewa Beach, HI 96706",NA,NA
"683","1-4-4-012-064-0001","44-130 1 Kou PL, Kaneohe, HI 96744",NA,NA
"684","1-4-3-028-042-0000","149 Kalaheo AVE, Kailua, HI 96734",NA,NA
"685","1-9-4-007-067-0223","94-537 Lumiaina ST, Waipahu, HI 96797",NA,NA
"686","1-9-4-115-036-0023","94-1348 Kulewa Loop, Waipahu, HI 96797",NA,NA
"687","1-8-7-052-087-0000","87-1692 Wehiwehi ST, Waianae, HI 96792",NA,NA
"688","1-4-3-082-025-0014","800 Kainui ST, Kailua, HI 96734",NA,NA
"689","1-9-1-010-112-0007","91-590 Makalea ST, Ewa Beach, HI 96706",NA,NA
"690","1-9-1-142-088-0000","91-1008 Kai Lea ST, Ewa Beach, HI 96706",NA,NA
"691","1-9-1-010-109-0003","91-514 Makalea ST, Ewa Beach, HI 96706",NA,NA
"692","1-3-2-020-102-0000","833-7th AVE, Honolulu, HI 96816",NA,NA
"693","1-9-8-063-124-0000","98-1930 Kaulahao ST, Aiea, HI 96701",NA,NA
"694","1-9-1-012-040-0133","91-2008 Kaioli ST, Ewa Beach, HI 96706",NA,NA
"695","1-9-1-166-055-0000","91-1403 Kaileoleo Drive, Ewa Beach, HI 96706",NA,NA
"696","1-3-2-021-017-0000","847-9th AVE, Honolulu, HI 96816",NA,NA
"697","1-3-4-026-024-0000","2352-10th AvE PL, Honolulu, HI 96816",NA,NA
"698","1-8-4-018-007-0012","84-520 Farrington Highway, Waianae, HI 96792",NA,NA
"699","1-9-1-131-059-0000","91-1009 Kai Wana ST, Ewa Beach, HI 96706",NA,NA
"700","1-9-1-050-091-0129","91-1109 Puamaeole ST, Ewa Beach, HI 96706",NA,NA
"701","1-4-3-027-045-0000","266 Kainalu Drive, Kailua, HI 96734",NA,NA
"702","1-9-1-158-057-0000","1268 Luakalai ST, Kapolei, HI 96707",NA,NA
"703","1-1-6-002-008-0000","1302 Auld Lane, Honolulu, HI 96817",NA,NA
"704","1-9-8-059-001-0106","98-829 Noelani ST, Pearl City, HI 96782",NA,NA
"705","1-9-1-012-067-0049","91-2032 Kaioli ST, Ewa Beach, HI 96706",NA,NA
"706","1-9-1-132-010-0040","91-2012 Kanela ST, Ewa Beach, HI 96706",NA,NA
"707","1-4-2-094-019-0000","523 Keolu Drive, Kailua, HI 96734",NA,NA
"708","1-4-5-063-010-0000","45-221 Koa Kahiko PL, Kaneohe, HI 96744",NA,NA
"709","1-8-4-016-006-0000","84-810 Farrington Highway, Waianae, HI 96792",NA,NA
"710","1-9-1-012-073-0012","91-2071 Kaioli ST, Ewa Beach, HI 96706",NA,NA
"711","1-9-9-009-118-0001","99-1230 Halawa Hts RD, Aiea, HI 96701",NA,NA
"712","1-9-2-020-071-0072","92-952 Makakilo Drive, Kapolei, HI 96707",NA,NA
"713","1-3-4-002-022-0000","2066-9th AVE, Honolulu, HI 96816",NA,NA
"714","1-4-7-055-010-0012","47-413 Ahuimanu RD, Kaneohe, HI 96744",NA,NA
"715","1-9-4-167-066-0000","94-1036 Waiahu ST, Waipahu, HI 96797",NA,NA
"716","1-9-1-012-067-0030","91-2023 Kaioli ST, Ewa Beach, HI 96706",NA,NA
"717","1-4-6-008-024-0000","46-217 Ahui Nani PL, Kaneohe, HI 96744",NA,NA
"718","1-3-4-003-006-0035","2138-10th AVE, Honolulu, HI 96816",NA,NA
"719","1-1-1-012-036-0086","1317 D Moanalualani Way, Honolulu, HI 96819",NA,NA
"720","1-3-8-014-033-0000","5984 Kalanianaole Highway, Honolulu, HI 96821",NA,NA
"721","1-9-1-050-091-0218","91-1189 Puamaeole ST, Ewa Beach, HI 96706",NA,NA
"722","1-3-3-037-009-0000","2107-10th AVE, Honolulu, HI 96816",NA,NA
"723","1-8-4-011-030-0000","84-1111A Lahaina ST, Waianae, HI 96792",NA,NA
"724","1-9-1-010-108-0012","91-504 Makalea ST, Ewa Beach, HI 96706",NA,NA
"725","1-4-3-015-028-0000","156 Kalaheo AVE, Kailua, HI 96734",NA,NA
"726","1-9-4-045-098-0000","94-1254 Kahuaina ST, Waipahu, HI 96797",NA,NA
"727","1-9-1-137-020-0000","91-1055 Kai Oio ST, Ewa Beach, HI 96706",NA,NA
"728","1-9-1-037-031-0000","91-801 Kehue ST, Ewa Beach, HI 96706",NA,NA
"729","1-9-1-131-102-0000","91-1024 Kai Kukuma ST, Ewa Beach, HI 96706",NA,NA
"730","1-9-1-012-058-0015","91-2076 Kaioli ST, Ewa Beach, HI 96706",NA,NA
"731","1-9-1-012-086-0010","91-2063 Kaioli ST, Ewa Beach, HI 96706",NA,NA
"732","1-9-1-158-114-0000","420 Malamalama ST, Kapolei, HI 96707",NA,NA
"733","1-3-3-005-049-0000","1332-10th AVE, Honolulu, HI 96816",NA,NA
"734","1-9-5-093-022-0041","95-988 Ukuwai ST, Mililani, HI 96789",NA,NA
"735","1-8-7-052-020-0000","87-1635 Mokila ST, Waianae, HI 96792",NA,NA
"736","1-9-4-007-067-0022","94-531 Lumiaina ST, Waipahu, HI 96797",NA,NA
"737","1-4-7-004-030-0115","47-291E Hui Iwa ST, Kaneohe, HI 96744",NA,NA
"738","1-4-5-038-134-0000","45-535 Mokulele Drive, Kaneohe, HI 96744",NA,NA
"739","1-9-4-007-012-0192","94-816B Lumiauau ST, Waipahu, HI 96797",NA,NA
"740","1-9-8-011-049-0111","98-911 Iho PL, Aiea, HI 96701",NA,NA
"741","1-9-4-007-088-0058","94-1009 Maiau ST, Waipahu, HI 96797",NA,NA
"742","1-9-4-005-030-0075","94-1466 Lanikuhana AVE, Mililani, HI 96789",NA,NA
"743","1-9-1-010-070-0002","91-2004 Luahoana ST, Ewa Beach, HI 96706",NA,NA
"744","1-5-9-003-040-0000","59-471 Ke Waena RD, Haleiwa, HI 96712",NA,NA
"745","1-9-5-002-036-0097","95-1141 Wikao ST, Mililani, HI 96789",NA,NA
"746","1-9-1-163-022-0000","91-1347 Kilipue ST, Ewa Beach, HI 96706",NA,NA
"747","1-9-1-132-001-0099","91-1059 Kanela ST, Ewa Beach, HI 96706",NA,NA
"748","1-9-1-158-076-0000","426 Koakoa ST, Kapolei, HI 96707",NA,NA
"749","1-4-7-004-020-0117","47-342B Hui Iwa ST, Kaneohe, HI 96744",NA,NA
"750","1-3-3-033-039-0001","1431-10th AVE, Honolulu, HI 96816",NA,NA
"751","1-9-8-002-038-0041","98-1780 Kaahumanu ST, Pearl City, HI 96782",NA,NA
"752","1-9-1-137-024-0000","91-1043 Kai Oio ST, Ewa Beach, HI 96706",NA,NA
"753","1-4-5-002-043-0004","45-160A Lilipuna RD, Kaneohe, HI 96744",NA,NA
"754","1-8-4-002-064-0081","84-621 Ala Mahiku ST, Waianae, HI 96792",NA,NA
"755","1-9-7-056-082-0000","2294 Komo Mai Drive, Pearl City, HI 96782",NA,NA
"756","1-4-7-004-020-0011","47-371A Hui Iwa ST, Kaneohe, HI 96744",NA,NA
"757","1-3-2-040-053-0000","1172-21st AVE, Honolulu, HI 96816",NA,NA
"758","1-9-1-060-050-0000","91-1058 Makahou ST, Kapolei, HI 96707",NA,NA
"759","1-9-1-114-164-0019","91-1071 Kaileolea Drive, Ewa Beach, HI 96706",NA,NA
"760","1-9-1-010-081-0005","91-1901 Luahoana ST, Ewa Beach, HI 96706",NA,NA
"761","1-9-1-012-040-0082","91-2010 Kaioli ST, Ewa Beach, HI 96706",NA,NA
"762","1-9-1-056-014-0243","92-1479C Aliinui Drive, Kapolei, HI 96707",NA,NA
"763","1-9-2-007-052-0000","92-464 Akaula ST, Kapolei, HI 96707",NA,NA
"764","1-4-7-050-014-0000","47-481 Ahuimanu RD, Kaneohe, HI 96744",NA,NA
"765","1-9-1-010-111-0003","91-558 Makalea ST, Ewa Beach, HI 96706",NA,NA
"766","1-8-5-029-008-0000","85-1115 Waianae Valley RD, Waianae, HI 96792",NA,NA
"767","1-9-1-012-067-0023","91-2037 Kaioli ST, Ewa Beach, HI 96706",NA,NA
"768","1-3-4-001-054-0000","1958-10th AVE, Honolulu, HI 96816",NA,NA
"769","1-9-4-005-031-0072","94-169 Kuahelani AVE, Mililani, HI 96789",NA,NA
"770","1-8-7-050-044-0000","87-1721 Wehiwehi ST, Waianae, HI 96792",NA,NA
"771","1-9-1-158-129-0000","418 Kuehu ST, Kapolei, HI 96707",NA,NA
"772","1-4-3-027-064-0000","228 Kainalu Drive, Kailua, HI 96734",NA,NA
"773","1-3-8-014-040-0002","5994 Kalanianaole Highway, Honolulu, HI 96821",NA,NA
"774","1-9-1-108-153-0000","91-1054 Makaike ST, Ewa Beach, HI 96706",NA,NA
"775","1-4-7-004-019-0058","47-453 4 Hui Iwa ST, Kaneohe, HI 96744",NA,NA
"776","1-9-1-158-060-0000","1258 Luakalai ST, Kapolei, HI 96707",NA,NA
"777","1-8-7-052-104-0000","87-1642 Wehiwehi ST, Waianae, HI 96792",NA,NA
"778","1-9-7-034-018-0000","826-2nd ST, Pearl City, HI 96782",NA,NA
"779","1-8-7-026-056-0000","87-1884 Farrington Highway, Waianae, HI 96792",NA,NA
"780","1-9-1-123-117-0000","91-1026 Kaiko ST, Ewa Beach, HI 96706",NA,NA
"781","1-9-1-046-023-0000","91-1635 Auwaha ST, Ewa Beach, HI 96706",NA,NA
"782","1-9-2-027-021-0000","92-924 Panana ST, Kapolei, HI 96707",NA,NA
"783","1-9-1-136-085-0000","91-1315 Kuanoo ST, Ewa Beach, HI 96706",NA,NA
"784","1-9-9-058-048-0000","99-782 Nahiolea ST, Aiea, HI 96701",NA,NA
"785","1-9-1-132-001-0124","91-1127 Kanela ST, Ewa Beach, HI 96706",NA,NA
"786","1-6-6-017-045-0003","66-496 Paalaa RD, Haleiwa, HI 96712",NA,NA
"787","1-9-4-005-035-0070","94-1472 Lanikuhana AVE, Mililani, HI 96789",NA,NA
"788","1-9-1-056-004-0203","92-1204 Olani ST, Kapolei, HI 96707",NA,NA
"789","1-9-1-132-093-0000","91-1212 Kuanoo ST, Ewa Beach, HI 96706",NA,NA
"790","1-4-6-031-027-0118","46-1039 Emepela Way, Kaneohe, HI 96744",NA,NA
"791","1-8-4-026-126-0000","84-175A Water ST, Waianae, HI 96792",NA,NA
"792","1-8-4-024-076-0000","84-790 Lahaina ST, Waianae, HI 96792",NA,NA
"793","1-9-7-048-158-0000","2066 Komo Mai Drive, Pearl City, HI 96782",NA,NA
"794","1-9-8-011-050-0032","98-706 Kaonohi ST, Aiea, HI 96701",NA,NA
"795","1-4-7-013-034-0001","47-285 Waihee RD, Kaneohe, HI 96744",NA,NA
"796","1-9-1-056-005-0079","92-1043A Koio Drive, Kapolei, HI 96707",NA,NA
"797","1-9-1-124-083-0000","91-1083 Kaiko ST, Ewa Beach, HI 96706",NA,NA
"798","1-4-3-030-015-0000","12 Kainalu Drive, Kailua, HI 96734",NA,NA
"799","1-8-7-019-030-0000","87-1029 Iliili RD, Waianae, HI 96792",NA,NA
"800","1-9-1-131-068-0000","91-1018 Kai Wana ST, Ewa Beach, HI 96706",NA,NA
"801","1-9-4-115-036-0037","94-1345 Kulewa Loop, Waipahu, HI 96797",NA,NA
"802","1-9-1-041-143-0000","91-1144 Hanaloa ST, Ewa Beach, HI 96706",NA,NA
"803","1-9-4-134-126-0000","94-557 Palai ST, Waipahu, HI 96797",NA,NA
"804","1-9-1-010-071-0011","91-2035 Luahoana ST, Ewa Beach, HI 96706",NA,NA
"805","1-9-8-011-049-0090","98-887 C Iho PL, Aiea, HI 96701",NA,NA
"806","1-9-1-114-161-0011","91-1082 Kaimalie ST, Ewa Beach, HI 96706",NA,NA
"807","1-9-8-002-035-0028","98-1704 Kaahumanu ST, Pearl City, HI 96782",NA,NA
"808","1-9-1-138-093-0000","91-1150 Kaiee ST, Ewa Beach, HI 96706",NA,NA
"809","1-9-4-045-053-0002","94-332A Kahualena ST, Waipahu, HI 96797",NA,NA
"810","1-9-4-007-046-0019","94-825 Lumiauau ST, Waipahu, HI 96797",NA,NA
"811","1-9-4-040-013-0000","94-398 KAHUANANI ST, Waipahu, HI 96797",NA,NA
"812","1-9-1-056-004-0043","92-1150 1 Olani ST, Kapolei, HI 96707",NA,NA
"813","1-9-8-002-034-0017","98-1744 Kaahumanu ST, Pearl City, HI 96782",NA,NA
"814","1-9-1-010-097-0005","91-3018 Makalea Loop, Ewa Beach, HI 96706",NA,NA
"815","1-4-1-032-018-0000","41-726 Paloa PL, Waimanalo, HI 96795",NA,NA
"816","1-9-4-115-037-0026","94-1370 Kulewa Loop, Waipahu, HI 96797",NA,NA
"817","1-9-4-055-070-0000","94-671 Loaa ST, Waipahu, HI 96797",NA,NA
"818","1-5-9-002-038-0000","59-181C Ke Nui RD, Haleiwa, HI 96712",NA,NA
"819","1-4-4-018-056-0000","44-234 Mikiola Drive, Kaneohe, HI 96744",NA,NA
"820","1-8-7-052-095-0000","87-1668 Wehiwehi ST, Waianae, HI 96792",NA,NA
"821","1-9-4-026-153-0000","94-356 Paiwa ST, Waipahu, HI 96797",NA,NA
"822","1-9-4-061-108-0086","94-1010 Anania Circle, Mililani, HI 96789",NA,NA
"823","1-9-1-016-063-0007","91-1018 Kaiau AVE, Kapolei, HI 96707",NA,NA
"824","1-5-1-002-040-0002","51-319 Kekio RD, Kaaawa, HI 96730",NA,NA
"825","1-9-4-078-035-0000","94-382 Keaolani ST, Mililani, HI 96789",NA,NA
"826","1-9-1-096-001-0000","91-1702 Burke ST, Ewa Beach, HI 96706",NA,NA
"827","1-3-1-004-057-0000","808-6th AVE, Honolulu, HI 96816",NA,NA
"828","1-9-1-010-055-0003","91-128 Makalea ST, Ewa Beach, HI 96706",NA,NA
"829","1-8-7-033-008-0000","87-1730A Farrington Highway, Waianae, HI 96792",NA,NA
"830","1-9-1-154-044-0000","91-1817 Waiaama ST, Ewa Beach, HI 96706",NA,NA
"831","1-5-1-014-033-0000","51-451 Haahaa ST, Kaaawa, HI 96730",NA,NA
"832","1-8-7-052-050-0000","87-1691 Wehiwehi ST, Waianae, HI 96792",NA,NA
"833","1-9-1-158-047-0000","415 Kuehu ST, Kapolei, HI 96707",NA,NA
"834","1-4-3-042-018-0002","338A1 Manono ST, Kailua, HI 96734",NA,NA
"835","1-9-1-158-095-0000","424 Kuupau ST, Kapolei, HI 96707",NA,NA
"836","1-8-4-017-002-0003","84-716D Farrington Highway, Waianae, HI 96792",NA,NA
"837","1-9-1-050-091-0188","91-1149 puamaeole ST, ewa beach, HI 96706",NA,NA
"838","1-9-5-093-022-0011","95-1004 Ukuwai ST, Mililani, HI 96789",NA,NA
"839","1-9-5-002-036-0083","95-1111 Wikao ST, Mililani, HI 96789",NA,NA
"840","1-9-8-040-002-0111","98-554 Kaonohi ST, Aiea, HI 96701",NA,NA
"841","1-3-4-015-009-0000","2394-10th Ave PL, Honolulu, HI 96816",NA,NA
"842","1-9-4-115-007-0107","94-1159 Mopua Loop, Waipahu, HI 96797",NA,NA
"843","1-8-7-052-078-0000","87-1659 Wehiwehi ST, Waianae, HI 96792",NA,NA
"844","1-3-2-051-004-0000","811-15th AVE, Honolulu, HI 96816",NA,NA
"845","1-9-9-076-014-0087","99-306 Mananai PL, Honolulu, HI 96818",NA,NA
"846","1-9-4-103-003-0043","94-840 Lelepua ST, Waipahu, HI 96797",NA,NA
"847","1-9-1-010-091-0001","91-301 Makalea ST, Ewa Beach, HI 96706",NA,NA
"848","1-9-1-138-058-0000","91-1044 Kai Loli ST, Ewa Beach, HI 96706",NA,NA
"849","1-9-1-012-058-0033","91-2064 Kaioli ST, Ewa Beach, HI 96706",NA,NA
"850","1-9-7-034-026-0000","817-3rd ST, Pearl City, HI 96782",NA,NA
"851","1-3-2-018-016-0000","912-11th AVE, Honolulu, HI 96816",NA,NA
"852","1-4-2-019-016-0000","381 Wanaao RD, Kailua, HI 96734",NA,NA
"853","1-3-2-016-034-0000","955-6th AVE, Honolulu, HI 96816",NA,NA
"854","1-9-4-124-120-0000","94-503 Palai ST, Waipahu, HI 96797",NA,NA
"855","1-9-1-010-092-0013","91-264 Makalea ST, Ewa Beach, HI 96706",NA,NA
"856","1-8-4-017-025-0000","84-659 Lahaina ST, Waianae, HI 96792",NA,NA
"857","1-8-7-052-048-0000","87-1534 Laia ST, Waianae, HI 96792",NA,NA
"858","1-4-2-094-026-0000","531 Keolu Drive, Kailua, HI 96734",NA,NA
"859","1-4-7-004-030-0077","47-273C Hui Iwa ST, Kaneohe, HI 96744",NA,NA
"860","1-8-7-050-035-0000","87-1724 Wehiwehi ST, Waianae, HI 96792",NA,NA
"861","1-3-2-017-048-0001","912-8th AVE, Honolulu, HI 96816",NA,NA
"862","1-9-4-115-007-0061","94-1131 Mopua Loop, Waipahu, HI 96797",NA,NA
"863","1-3-2-018-004-0000","915-10th AVE, Honolulu, HI 96816",NA,NA
"864","1-3-4-004-033-0000","2442-10th AVE, Honolulu, HI 96816",NA,NA
"865","1-9-1-056-005-0200","92-1077B Koio Drive, Kapolei, HI 96707",NA,NA
"866","1-7-4-020-061-0000","150 Cane ST, Wahiawa, HI 96786",NA,NA
"867","1-3-3-035-013-0000","1843-10th AVE, Honolulu, HI 96816",NA,NA
"868","1-9-5-002-036-0102","95-1151 Wikao ST, Mililani, HI 96789",NA,NA
"869","1-4-7-004-030-0033","47-265/E Hui Iwa ST, Kaneohe, HI 96744",NA,NA
"870","1-3-8-014-008-0000","5952 Kalanianaole Highway, Honolulu, HI 96821",NA,NA
"871","1-9-1-132-010-0037","91-2038 Kanela ST, Ewa Beach, HI 96706",NA,NA
"872","1-9-4-007-067-0205","94-539 Lumiaina ST, Waipahu, HI 96797",NA,NA
"873","1-9-1-158-113-0000","424 Malamalama ST, Kapolei, HI 96707",NA,NA
"874","1-9-1-155-043-0000","91-1769 Waiaama ST, Ewa Beach, HI 96706",NA,NA
"875","1-8-7-052-108-0000","87-1630 Wehiwehi ST, Waianae, HI 96792",NA,NA
"876","1-9-5-002-036-0075","95-1105 Wikao ST, Mililani, HI 96789",NA,NA
"877","1-8-7-052-038-0000","87-305 Kowehe ST, Waianae, HI 96792",NA,NA
"878","1-9-4-005-031-0049","94-147 Kuahelani AVE, Mililani, HI 96789",NA,NA
"879","1-9-1-056-005-0213","92-1081C Koio Drive, Kapolei, HI 96707",NA,NA
"880","1-4-2-094-023-0000","527C Keolu Drive, Kailua, HI 96734",NA,NA
"881","1-9-4-007-085-0019","94-660 Lumiauau ST, Waipahu, HI 96797",NA,NA
"882","1-9-4-162-120-0000","94-1039 Kanawao ST, Waipahu, HI 96797",NA,NA
"883","1-9-4-050-062-0000","94-1199 Awaiki ST, Waipahu, HI 96797",NA,NA
"884","1-9-1-127-053-0000","91-1030 Kaihoi ST, Ewa Beach, HI 96706",NA,NA
"885","1-4-5-022-012-0000","45-912 Anoi RD, Kaneohe, HI 96744",NA,NA
"886","1-9-4-023-070-0000","94-1336 Hiapo PL, Waipahu, HI 96797",NA,NA
"887","1-9-1-137-040-0000","91-1226 Kaileolea Drive, Ewa Beach, HI 96706",NA,NA
"888","1-9-1-132-103-0000","91-1174 Kuanoo ST, Ewa Beach, HI 96706",NA,NA
"889","1-4-5-107-062-0000","45-130 Leleua PL, Kaneohe, HI 96744",NA,NA
"890","1-9-5-021-005-0075","95-188 Kipapa Drive, Mililani, HI 96789",NA,NA
"891","1-9-4-071-008-0000","94-509 Hokuala ST, Mililani, HI 96789",NA,NA
"892","1-3-2-057-063-0000","738-21st AVE, Honolulu, HI 96816",NA,NA
"893","1-4-5-047-048-0000","45-239 Ka Hanahou Circle, Kaneohe, HI 96744",NA,NA
"894","1-4-7-036-027-0000","47-150 Iuiu ST, Kaneohe, HI 96744",NA,NA
"895","1-9-1-158-056-0000","1270 Luakalai ST, Kapolei, HI 96707",NA,NA
"896","1-9-1-092-013-0000","91-1126 Aukahi ST, Kapolei, HI 96707",NA,NA
"897","1-9-1-142-057-0000","91-1112 Kai Kukuma ST, Ewa Beach, HI 96706",NA,NA
"898","1-4-6-024-037-0000","46-118 Alaloa ST, Kaneohe, HI 96744",NA,NA
"899","1-9-8-032-004-0000","98-875 Iliee ST, Aiea, HI 96701",NA,NA
"900","1-9-1-137-041-0000","91-1228 Kaileolea Drive, Ewa Beach, HI 96706",NA,NA
"901","1-9-1-121-069-0000","91-1032 Kamaehu ST, Ewa Beach, HI 96706",NA,NA
"902","1-6-8-010-030-0000","68-715 Farrington Highway, Waialua, HI 96791",NA,NA
"903","1-9-1-142-128-0000","91-1101 Kai Kukuma ST, Ewa Beach, HI 96706",NA,NA
"904","1-9-1-137-026-0000","91-1037 Kai Oio ST, Ewa Beach, HI 96706",NA,NA
"905","1-9-1-133-079-0000","91-1159 Kaimalie ST, Ewa Beach, HI 96706",NA,NA
"906","1-9-4-146-006-0114","94-544 Kupuohi ST, Waipahu, HI 96797",NA,NA
"907","1-9-4-032-026-0002","94-296 Haaa ST, Honolulu, HI 96797",NA,NA
"908","1-8-7-052-068-0000","87-1648 Mokila ST, Waianae, HI 96792",NA,NA
"909","1-9-4-136-088-0000","94-1020 Heahea ST, Waipahu, HI 96797",NA,NA
"910","1-9-4-040-082-0000","94-1396 Waipahu ST, Waipahu, HI 96797",NA,NA
"911","1-9-1-132-010-0038","91-2034 Kanela ST, Ewa Beach, HI 96706",NA,NA
"912","1-9-4-146-003-0075","94-510 Kupuohi ST, Waipahu, HI 96797",NA,NA
"913","1-9-1-154-025-0000","91-1816 Waiaama ST, Ewa Beach, HI 96706",NA,NA
"914","1-8-7-050-048-0000","87-1735 Wehiwehi ST, Waianae, HI 96792",NA,NA
"915","1-9-1-158-086-0000","409 Koakoa ST, Kapolei, HI 96707",NA,NA
"916","1-9-1-132-001-0048","91-1201 Kanela ST, Ewa Beach, HI 96706",NA,NA
"917","1-9-8-006-048-0000","98-229 Kaulike Drive, Pearl City, HI 96782",NA,NA
"918","1-3-2-030-011-0004","539-12th AVE, Honolulu, HI 96816",NA,NA
"919","1-9-2-019-032-0078","92-1034 Makakilo Drive, Kapolei, HI 96707",NA,NA
"920","1-9-5-055-002-0000","95-1014 Pakau ST, Mililani, HI 96789",NA,NA
"921","1-9-1-133-051-0000","91-1011 Kaimoana ST, Ewa Beach, HI 96706",NA,NA
